Elo	Username	W	L	T	Last update
1355.6507409104315	Bunny Stockfish	2	1	0	Fri Sep 25 2026 00:22:48 GMT+0000 (Coordinated Universal Time)
1332	Bunny Stockfish rpRB	0	3	0	Mon Sep 14 2026 14:24:11 GMT+0000 (Coordinated Universal Time)
1307.765	Bunny Champion rpRB	1	2	0	Mon Sep 14 2026 14:02:59 GMT+0000 (Coordinated Universal Time)
1302	Bunny Champion	0	0	0	
1287.157	Bunny Hard rpRB	1	2	0	Mon Sep 14 2026 13:41:31 GMT+0000 (Coordinated Universal Time)
1283	Bunny Hard	0	0	0	
1227.7936076668725	SlimeQueenSamantha	9	3	0	Fri Sep 25 2026 00:22:48 GMT+0000 (Coordinated Universal Time)
1211	Bunny Normal rpRB	0	1	0	Tue Sep 15 2026 20:29:53 GMT+0000 (Coordinated Universal Time)
1211	Bunny Normal	0	0	0	
1051.0905302091032	StaleThunder126	1	0	0	Tue Sep 22 2026 19:55:43 GMT+0000 (Coordinated Universal Time)
1036.2655369051445	Bunny Easy	1	1	0	Tue Sep 22 2026 19:55:43 GMT+0000 (Coordinated Universal Time)
1003	Bunny Easy rpRB	0	0	0	
1000	Keiko_Sama	0	1	0	Mon Sep 21 2026 23:41:56 GMT+0000 (Coordinated Universal Time)
1000	Guest 2399	0	1	0	Mon Sep 14 2026 13:10:24 GMT+0000 (Coordinated Universal Time)
