backpackerjoey	Backpacker Joey	2026-09-26T15:14:39.763Z	2026-09-26T15:14:39.763Z	1
fishermanbob	Fisherman Bob	2026-09-26T15:12:36.500Z	2026-09-26T15:12:36.500Z	1
wildbudew	Wild Budew	2026-09-22T03:03:27.954Z	2026-09-26T15:10:10.115Z	5
hikersora	Hiker Sora	2026-09-25T04:07:16.778Z	2026-09-26T15:09:55.173Z	3
lassruby	Lass Ruby	2026-09-23T04:11:21.214Z	2026-09-26T15:09:05.410Z	3
swimmerrex	Swimmer Rex	2026-09-26T15:08:55.125Z	2026-09-26T15:08:55.125Z	1
tuberned	Tuber Ned	2026-09-25T04:02:41.072Z	2026-09-26T15:08:34.837Z	3
hikeryuto	Hiker Yuto	2026-09-25T04:11:03.302Z	2026-09-26T15:08:13.045Z	2
simiaignis	simia ignis	2026-09-22T00:58:59.021Z	2026-09-26T15:07:58.460Z	65
youngsterned	Youngster Ned	2026-09-24T00:49:07.699Z	2026-09-26T15:07:42.599Z	4
bugcatcherotto	Bug Catcher Otto	2026-09-26T15:06:21.914Z	2026-09-26T15:06:21.914Z	1
stalethunder126	StaleThunder126	2026-09-22T19:13:41.289Z	2026-09-26T15:01:58.734Z	76
wildoddish	Wild Oddish	2026-09-17T12:43:41.859Z	2026-09-26T14:55:51.511Z	4
wildseedot	Wild Seedot	2026-09-23T01:03:45.560Z	2026-09-26T14:48:15.556Z	3
lassyui	Lass Yui	2026-09-23T04:12:38.382Z	2026-09-26T14:42:35.061Z	2
wildpoltchageist	Wild Poltchageist	2026-09-26T14:38:13.120Z	2026-09-26T14:38:13.120Z	1
lassemi	Lass Emi	2026-09-23T11:58:10.972Z	2026-09-26T14:36:31.802Z	2
wildspinarak	Wild Spinarak	2026-09-22T23:31:45.351Z	2026-09-26T14:32:32.000Z	3
wildnincada	Wild Nincada	2026-09-23T14:36:33.225Z	2026-09-26T14:30:07.800Z	2
therealwhimsicott	TheRealWhimsicott	2026-09-17T21:43:33.387Z	2026-09-26T04:53:34.306Z	3
slimequeensamantha	SlimeQueenSamantha	2026-09-14T16:07:14.019Z	2026-09-26T03:05:15.628Z	173
hikerjoey	Hiker Joey	2026-09-25T03:46:21.905Z	2026-09-25T04:14:14.846Z	2
